lat,lon,terrai_cod,terrai_nom
-2.96599506093535,-65.7897581109414,24001,Kumaru do Lago Ualá
-16.1831707968551,-54.3197096591793,19101,Jarudore
-3.08560029726502,-60.9140361725544,19201,Jatuarana
-3.41813247593501,-59.073770198021,19301,Jauary
-9.22266537377454,-38.0245424014952,19402,Geripancó
-27.1897243643894,-53.2408487954293,20101,Kaingang de Iraí
-12.3688138212423,-61.4056143854083,24101,Kwazá do Rio São Pedro
-5.32451327709795,-45.7347204764485,24801,Lagoa Comprida
-4.75110567834626,-48.9526534563259,31101,Nova Jacundá
-6.06401922059252,-45.1038024176148,20701,Kanela
-8.61580796996578,-37.3464217308532,20901,Kapinawá
-14.9147462661071,-51.0814623327745,21001,Karajá de Aruanã I
-14.9089032345996,-51.1017377635875,21101,Karajá de Aruanã II
-8.88007604520991,-49.7696251233295,21301,Karajá Santana do Araguaia
-10.0092425246106,-36.6249718388801,21401,Karapotó
-10.1570001293595,-36.8278558599413,21701,Kariri-Xocó
-27.1463434914304,-52.4517622148632,35501,Pinhal
-9.33232040390775,-64.0515939506128,21801,Karitiana
-22.3559027691571,-55.3051332817196,25601,Jatayvari
-8.07595446637735,-70.4110617122512,21901,Katukina/Kaxinawá
-8.10184076074247,-70.784318107904,22201,Kaxinawá Colônia Vinte e Sete
-8.39585361474852,-71.3598678570522,22301,Kaxinawá da Praia do Carapanã
-9.26957915430903,-72.0165580039326,22401,Kaxinawá do Baixo Rio Jordão
-9.24821568097357,-71.5073357737144,22501,Kaxinawá do Rio Humaitá
-9.53340109361338,-72.1347292780072,22601,Kaxinawá do Rio Jordão
-9.14053748646886,-70.7147254656327,22701,Kaxinawá Nova Olinda
-9.31443817466172,-71.9162884762107,22801,Kaxinawá Seringal Independência
-8.71426183029174,-57.2911996437186,22902,Kayabi
-7.708412932384,-51.9176960583217,23001,Kayapó
-10.6569046289179,-38.6314329279845,23101,Kiriri
-4.27638712677172,-52.2772954834958,23201,Koatinemo
